City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Buala,SB,79.7,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
7,Atuona,PF,75.79,light rain,-9.8,-139.0333,Villa Enata
9,Nakamura,JP,77.29,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
17,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
24,Kerman,IR,76.86,broken clouds,30.2832,57.0788,هتل آپارتمان آسام
27,Saint George,US,88.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
29,Galle,LK,79.0,moderate rain,6.0367,80.217,Amangalla
33,Faanui,PF,77.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Pandan,PH,80.13,overcast clouds,14.0453,124.1694,Bonifacio Lodge
39,Emborion,GR,80.96,broken clouds,40.4833,21.55,Villa Kastanodasos
40,Jamestown,US,78.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Sola,VU,78.93,overcast clouds,-13.8833,167.55,Leumerus Bungalows
45,Takoradi,GH,75.51,overcast clouds,4.8845,-1.7554,Raybow International Hotel
46,Weligama,LK,78.17,heavy intensity rain,5.9667,80.4167,Weligama Bay Resort
60,Lazaro Cardenas,MX,87.3,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
63,Elliot Lake,CA,76.6,few clouds,46.3834,-82.6331,Paris Plaza
65,Matsubase,JP,80.19,broken clouds,32.65,130.6667,Uto Center Hotel
66,Touros,BR,80.92,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
69,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
70,Hithadhoo,MV,78.66,overcast clouds,-0.6,73.0833,Scoop Guest House
74,Dingle,PH,76.33,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
76,Alexandria,EG,81.14,scattered clouds,31.2156,29.9553,Royal Crown Hotel
78,Biak,ID,75.56,light rain,-0.9131,122.8766,Penginapan Kim
79,Bubaque,GW,79.68,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
80,Yuxia,CN,81.21,clear sky,34.0615,108.6291,Shanchengxuan Hotel
81,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
85,Kirakira,SB,78.15,scattered clouds,-10.4544,161.9205,SanBiz Lodge
86,Mahibadhoo,MV,78.01,light rain,3.7833,72.9667,Omadhoo Inn
91,Butaritari,KI,81.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
92,Bethel,US,86.04,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
94,Vanimo,PG,78.22,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
95,Torbay,CA,76.87,scattered clouds,47.6666,-52.7314,Gallows Cove
97,Mason City,US,82.65,few clouds,43.1536,-93.201,Days Inn by Wyndham Mason City
99,Hinganghat,IN,82.98,overcast clouds,20.5667,78.8333,Zambre Villa
107,Shingu,JP,76.57,broken clouds,33.7333,135.9833,Shingu UI Hotel
112,Seoul,KR,78.4,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
113,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
117,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
120,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
125,Marsh Harbour,BS,84.09,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
127,Micheldorf,AT,76.8,scattered clouds,46.9222,14.4405,HOTEL VILLA BUCHER
128,Forchheim,DE,81.39,overcast clouds,49.7175,11.0588,Hotel Plaza
130,Boffa,GN,80.51,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
131,Carballo,ES,89.02,clear sky,43.213,-8.691,Pazo do Souto
132,Grand-Lahou,CI,75.99,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
134,Hatfield,GB,79.88,broken clouds,51.7634,-0.2242,Mercure Hatfield Oak Hotel
136,Mahasamund,IN,82.67,overcast clouds,21.1,82.1,mauhari bhantha mahasamund
139,Katsuura,JP,79.81,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
140,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
