City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,58.03,76,71,19.62,broken clouds
1,Buala,SB,-8.145,159.5921,79.7,82,5,8.77,clear sky
2,Kedrovyy,RU,56.1667,91.8167,68.41,97,42,4.47,scattered clouds
3,Avarua,CK,-21.2078,-159.775,73.45,68,20,6.91,few clouds
4,Castro,BR,-24.7911,-50.0119,70.21,38,0,6.06,clear sky
5,Qaanaaq,GL,77.484,-69.3632,45.52,57,10,3.74,clear sky
6,Albany,US,42.6001,-73.9662,83.26,52,61,1.16,broken clouds
7,Atuona,PF,-9.8,-139.0333,75.79,80,26,12.28,light rain
8,Ushuaia,AR,-54.8,-68.3,42.46,65,75,3.44,broken clouds
9,Nakamura,JP,32.9833,132.9333,77.29,97,96,3.22,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,11.5,broken clouds
11,Pishva,IR,35.308,51.7267,93.78,19,57,6.17,broken clouds
12,Waingapu,ID,-9.6567,120.2641,73.44,88,19,6.31,few clouds
13,Geraldton,AU,-28.7667,114.6,54.01,87,100,11.5,light intensity shower rain
14,Skibbereen,IE,51.55,-9.2667,63.1,66,72,14.03,broken clouds
15,Pimentel,PE,-6.8367,-79.9342,70.09,64,0,6.91,clear sky
16,Chokurdakh,RU,70.6333,147.9167,57.92,68,76,5.03,broken clouds
17,Vaini,TO,-21.2,-175.2,75.36,100,75,4.61,broken clouds
18,Miraflores,MX,19.2167,-98.8083,68.04,71,66,2.37,broken clouds
19,Mataura,NZ,-46.1927,168.8643,33.44,97,43,3.2,scattered clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,60.82,84,0,8.99,clear sky
21,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,78,20,18.41,few clouds
22,Rikitea,PF,-23.1203,-134.9692,71.87,74,100,17.74,light rain
23,Airai,TL,-8.9266,125.4092,57.25,92,92,3.24,overcast clouds
24,Kerman,IR,30.2832,57.0788,76.86,61,75,6.91,broken clouds
25,Yellowknife,CA,62.456,-114.3525,61.32,48,20,5.75,few clouds
26,Lavrentiya,RU,65.5833,-171.0,42.62,86,45,3.31,scattered clouds
27,Saint George,US,37.1041,-113.5841,88.63,49,0,3.44,clear sky
28,Chuy,UY,-33.6971,-53.4616,57.96,61,80,3.13,broken clouds
29,Galle,LK,6.0367,80.217,79.0,86,100,16.02,moderate rain
30,Bentiu,SS,9.2333,29.8333,71.42,91,100,3.22,overcast clouds
31,Metro,ID,-5.1131,105.3067,74.95,92,24,1.36,few clouds
32,Nikolskoye,RU,59.7035,30.7861,66.09,62,75,2.84,broken clouds
33,Faanui,PF,-16.4833,-151.75,77.81,74,1,24.79,light rain
34,Pandan,PH,14.0453,124.1694,80.13,84,100,6.38,overcast clouds
35,Heyang,CN,26.1011,107.473,67.95,92,0,1.34,clear sky
36,Cape Town,ZA,-33.9258,18.4232,54.27,70,0,13.8,clear sky
37,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,60,40,8.05,scattered clouds
